,group,age,likes,sex,미세먼지,이동수단에 대한 정보,날씨,코로나 관련 소식 및 확진자 수,과제,웹툰,유튜브,뉴스,토스,주식 및 비트코인,인터넷방송,캘린더,영화,축구,게임,패션,SNS,업무용 메신저,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
mean,2,33.06666667,3.266666667,0.4,0.266666667,0.266666667,0.6,0.2,0,0.066666667,0.133333333,0.533333333,0,0.533333333,0,0,0,0,0,0,0,0.066666667,1,0,0,0,0,0,0,0.2,0,0,0.8,0,0,0.2,0.733333333,0.066666667,0,0,0.066666667,0.066666667,0.533333333,0,0,0.333333333,0
std,0,2.455799744,1.387014608,0.507092553,0.457737708,0.457737708,0.507092553,0.414039336,0,0.25819889,0.351865775,0.516397779,0,0.516397779,0,0,0,0,0,0,0,0.25819889,0,0,0,0,0,0,0,0.414039336,0,0,0.414039336,0,0,0.414039336,0.457737708,0.25819889,0,0,0.25819889,0.25819889,0.516397779,0,0,0.487950036,0
min,2,31.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25%,2,31.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
50%,2,31.5,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
75%,2,35,4.5,1,0.5,0.5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
max,2,38,5,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,33살,,날씨,0.6,,단체카톡방,0.41,,작장인,0.73,,자동차,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3.27,,뉴스,0.53,,지인 소개,0.41,,자영업자,0.2,,지하철,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.4 남여,,주식 및 비트코인,0.53,,,,,프리렌서,0.07,,바이크,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,샘플 15,,이동수단,0.27,,,,,,,,버스,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,미세먼지,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,코로나,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,유튜브,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,