,group,age,likes,sex,인터넷방송,패션,토스,SNS,미세먼지,이동수단에 대한 정보,뉴스,주식 및 비트코인,날씨,웹툰,캘린더,과제,축구,영화,코로나 관련 소식 및 확진자 수,업무용 메신저,유튜브,게임,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
mean,1,32.96875,3.5,0,0,0,0,0,0.1875,0.3125,0.5,0.5,0.6875,0.0625,0,0,0,0,0.125,0.0625,0.125,0,0.5625,0,0.0625,0.0625,0.3125,0,0,0.1875,0,0,0.8125,0,0,0.125,0.875,0,0,0.0625,0.0625,0.0625,0.5,0,0,0.3125,0
std,0,2.404639613,1.366260102,0,0,0,0,0,0.403112887,0.478713554,0.516397779,0.516397779,0.478713554,0.25,0,0,0,0,0.341565026,0.25,0.341565026,0,0.512347538,0,0.25,0.25,0.478713554,0,0,0.403112887,0,0,0.403112887,0,0,0.341565026,0.341565026,0,0,0.25,0.25,0.25,0.516397779,0,0,0.478713554,0
min,1,31.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25%,1,31.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50%,1,31.5,4,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0
75%,1,35,5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
max,1,38,5,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,33살,,날씨,0.69,,가족과 함께,0.56,,지인 소개,0.81,,직장인,0.88,,자동차,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.5점,,뉴스,0.5,,원룸,0.31,,단톡방,0.19,,자영업,0.13,,지하철,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,남자,,주식,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16 샘플,,이동수단,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,미세먼지,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,코로나,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,유튜브,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,