,group,age,likes,sex,인터넷방송,캘린더,게임,날씨,토스,영화,업무용 메신저,축구,미세먼지,뉴스,코로나 관련 소식 및 확진자 수,웹툰,SNS,유튜브,주식 및 비트코인,이동수단에 대한 정보,패션,과제,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
mean,1,25.72,3.44,1,0,0.04,0,0.72,0,0,0,0,0.2,0.4,0.36,0,0,0,0.4,0.88,0,0,0.6,0,0.08,0.04,0.28,0,0,0.12,0,0.4,0.48,0,0.04,0.08,0.28,0.04,0.56,0.12,0,0.24,0.04,0,0,0.52,0.08
std,0,1.307669683,0.960902354,0,0,0.2,0,0.458257569,0,0,0,0,0.40824829,0.5,0.489897949,0,0,0,0.5,0.331662479,0,0,0.5,0,0.276887462,0.2,0.458257569,0,0,0.331662479,0,0.5,0.509901951,0,0.2,0.276887462,0.458257569,0.2,0.506622805,0.331662479,0,0.435889894,0.2,0,0,0.509901951,0.276887462
min,1,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25%,1,25,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50%,1,25,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
75%,1,25,4,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
max,1,28,5,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,25.72살,,이동수단,0.88,,가족과 함께,0.6,,지인,0.48,,학생,0.51,,지하철,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3.44점,,날씨,0.72,,원룸,0.28,,에브리타임,0.4,,직장인,0.28,,버스,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,여자,,뉴스,0.4,,,,,단톡방,0.12,,직장인,0.28,,도보,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,25 샘플,,주식,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,코로나,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,미세먼지,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,