,group,age,likes,sex,뉴스,미세먼지,SNS,영화,업무용 메신저,이동수단에 대한 정보,주식 및 비트코인,날씨,게임,인터넷방송,패션,토스,축구,웹툰,캘린더,과제,유튜브,코로나 관련 소식 및 확진자 수,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
mean,0,21.5,3.517241379,0.689655172,0.206896552,0.310344828,0.034482759,0,0,0.724137931,0.310344828,0.862068966,0,0,0,0,0,0,0,0,0,0.137931034,0,0,0,0,1,0,0,0,0.034482759,0.793103448,0.172413793,0,0,0,0.034482759,0,0.965517241,0.482758621,0,0.24137931,0,0,0,0.275862069,0
std,0,0,1.089583461,0.470823615,0.41225082,0.470823615,0.185695338,0,0,0.454858826,0.470823615,0.350931203,0,0,0,0,0,0,0,0,0,0.350931203,0,0,0,0,0,0,0,0,0.185695338,0.41225082,0.384425872,0,0,0,0.185695338,0,0.185695338,0.508547628,0,0.43549417,0,0,0,0.454858826,0
min,0,21.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25%,0,21.5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50%,0,21.5,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
75%,0,21.5,4,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
max,0,21.5,5,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.5살,,날씨,0.86,,에브리타임,0.79,,학생,0.97,,도보,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3.52점,,이동수단,0.72,,지인소개,0.17,,직장인,0.03,,지하철,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.69 남여,,주식 및 비트코인,0.31,,,,,,,,버스,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,샘플 29,,미세먼지,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,뉴스,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,코로나,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,