,group,age,likes,sex,뉴스,유튜브,영화,날씨,코로나 관련 소식 및 확진자 수,웹툰,인터넷방송,캘린더,토스,이동수단에 대한 정보,과제,SNS,패션,업무용 메신저,주식 및 비트코인,미세먼지,게임,축구,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
mean,2,36.2,4,0.2,0.2,0.2,0,0.6,0.2,0.2,0,0,0,0,0,0,0,0,0.4,0.4,0,0,0.8,0,0,0,0.2,0,0,0.2,0,0,0.8,0,0,0.6,0.4,0,0,0,0,0,1,0,0,0,0
std,0,1.643167673,1.224744871,0.447213595,0.447213595,0.447213595,0,0.547722558,0.447213595,0.447213595,0,0,0,0,0,0,0,0,0.547722558,0.547722558,0,0,0.447213595,0,0,0,0.447213595,0,0,0.447213595,0,0,0.447213595,0,0,0.547722558,0.547722558,0,0,0,0,0,0,0,0,0,0
min,2,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25%,2,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50%,2,35,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
75%,2,38,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
max,2,38,5,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,36.2살,,날씨,0.6,,기족과 함께,0.8,,단톡,0.2,,자영업자,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4점,,주식 및 비트코인,0.4,,원룸,0.2,,지인,0.8,,직장인,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5 샘플,,미세먼지,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.2 남여,,그 외,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,이동수단 ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,