,group,age,likes,sex,코로나 관련 소식 및 확진자 수,날씨,업무용 메신저,주식 및 비트코인,유튜브,이동수단에 대한 정보,웹툰,캘린더,인터넷방송,게임,토스,미세먼지,SNS,영화,과제,패션,뉴스,축구,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
mean,1,29.81034483,3.413793103,0.413793103,0.206896552,0.75862069,0.034482759,0.586206897,0,0.620689655,0,0.034482759,0,0,0,0.206896552,0,0,0,0,0.586206897,0,0.551724138,0,0.068965517,0.137931034,0.206896552,0.034482759,0,0.206896552,0,0.103448276,0.689655172,0,0.103448276,0.068965517,0.655172414,0,0.172413793,0.068965517,0.034482759,0.24137931,0,0,0.034482759,0.586206897,0.034482759
std,0,2.010746988,1.150069606,0.501230014,0.41225082,0.43549417,0.185695338,0.501230014,0,0.493803974,0,0.185695338,0,0,0,0.41225082,0,0,0,0,0.501230014,0,0.506120179,0,0.257880715,0.350931203,0.41225082,0.185695338,0,0.41225082,0,0.309934047,0.470823615,0,0.309934047,0.257880715,0.483725281,0,0.384425872,0.257880715,0.185695338,0.43549417,0,0,0.185695338,0.501230014,0.185695338
min,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25%,1,28,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50%,1,28,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
75%,1,31.5,4,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
max,1,35,5,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29살,,날씨,0.76,,가족,0.55,,지인,0.69,,직장인,0.66,,지하철,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3.41 점,,이동수단,0.62,,원룸,0.21,,단톡,0.21,,학생,0.17,,버스,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.41 남여,,주식 ,0.59,,,,,에타,0.01,,자영업,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29 샘플,,뉴스,0.59,,,,,,,,무직,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,코로나,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,미세먼지,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,