,group,age,likes,sex,SNS,주식 및 비트코인,날씨,인터넷방송,영화,뉴스,게임,캘린더,토스,패션,코로나 관련 소식 및 확진자 수,미세먼지,이동수단에 대한 정보,웹툰,업무용 메신저,유튜브,과제,축구,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
mean,1,32.21052632,3.210526316,0.263157895,0,0.526315789,0.736842105,0,0,0.578947368,0,0,0,0,0.105263158,0.263157895,0.368421053,0,0.052631579,0.052631579,0,0,0.578947368,0,0.052631579,0.052631579,0.315789474,0,0,0.210526316,0,0,0.789473684,0,0,0,1,0,0,0.052631579,0.052631579,0.105263158,0.368421053,0,0,0.421052632,0
std,0,1.781976037,1.357241785,0.452413928,0,0.512989176,0.452413928,0,0,0.507257274,0,0,0,0,0.315301768,0.452413928,0.495594628,0,0.229415734,0.229415734,0,0,0.507257274,0,0.229415734,0.229415734,0.477566933,0,0,0.418853908,0,0,0.418853908,0,0,0,0,0,0,0.229415734,0.229415734,0.315301768,0.495594628,0,0,0.507257274,0
min,1,31.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25%,1,31.5,2,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50%,1,31.5,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75%,1,31.5,4,0.5,0,1,1,0,0,1,0,0,0,0,0,0.5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
max,1,38,5,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,32.2살,,날씨,0.74,,가족,0.58,,지인,0.79,,지하철,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.21점,,뉴스,0.58,,원룸,0.32,,단톡방,0.21,,자동차,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.26 남여,,주식,0.53,,,,,,,,버스,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,19 샘플,,이동수단,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,미세먼지 ,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,코로나,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,